Label	Slength	Swidth	Plength	Pwidth	Uid
0	3.5	1.4	0.2	5.1	5
0	3	1.4	0.2	4.9	7
0	3.2	1.3	0.2	4.7	9
0	3.1	1.5	0.2	4.6	11
0	3.6	1.4	0.2	5	13
0	3.9	1.7	0.4	5.4	15
0	3.4	1.4	0.3	4.6	17
0	3.4	1.5	0.2	5	19
0	2.9	1.4	0.2	4.4	21
0	3.1	1.5	0.1	4.9	23
0	3.7	1.5	0.2	5.4	25
0	3.4	1.6	0.2	4.8	27
0	3	1.4	0.1	4.8	29
0	3	1.1	0.1	4.3	31
0	4	1.2	0.2	5.8	33
0	4.4	1.5	0.4	5.7	35
0	3.9	1.3	0.4	5.4	37
0	3.5	1.4	0.3	5.1	39
0	3.8	1.7	0.3	5.7	41
0	3.8	1.5	0.3	5.1	43
0	3.4	1.7	0.2	5.4	45
0	3.7	1.5	0.4	5.1	47
0	3.6	1	0.2	4.6	49
0	3.3	1.7	0.5	5.1	51
0	3.4	1.9	0.2	4.8	53
0	3	1.6	0.2	5	55
0	3.4	1.6	0.4	5	57
0	3.5	1.5	0.2	5.2	59
0	3.4	1.4	0.2	5.2	61
0	3.2	1.6	0.2	4.7	63
0	3.1	1.6	0.2	4.8	65
0	3.4	1.5	0.4	5.4	67
0	4.1	1.5	0.1	5.2	69
0	4.2	1.4	0.2	5.5	71
0	3.1	1.5	0.1	4.9	73
0	3.2	1.2	0.2	5	75
0	3.5	1.3	0.2	5.5	77
0	3.1	1.5	0.1	4.9	79
0	3	1.3	0.2	4.4	81
0	3.4	1.5	0.2	5.1	83
0	3.5	1.3	0.3	5	85
0	2.3	1.3	0.3	4.5	87
0	3.2	1.3	0.2	4.4	89
0	3.5	1.6	0.6	5	91
0	3.8	1.9	0.4	5.1	93
0	3	1.4	0.3	4.8	95
0	3.8	1.6	0.2	5.1	97
0	3.2	1.4	0.2	4.6	99
0	3.7	1.5	0.2	5.3	101
0	3.3	1.4	0.2	5	103
1	3.2	4.7	1.4	7	105
1	3.2	4.5	1.5	6.4	107
1	3.1	4.9	1.5	6.9	109
1	2.3	4	1.3	5.5	111
1	2.8	4.6	1.5	6.5	113
1	2.8	4.5	1.3	5.7	115
1	3.3	4.7	1.6	6.3	117
1	2.4	3.3	1	4.9	119
1	2.9	4.6	1.3	6.6	121
1	2.7	3.9	1.4	5.2	123
1	2	3.5	1	5	125
1	3	4.2	1.5	5.9	127
1	2.2	4	1	6	129
1	2.9	4.7	1.4	6.1	131
1	2.9	3.6	1.3	5.6	133
1	3.1	4.4	1.4	6.7	135
1	3	4.5	1.5	5.6	137
1	2.7	4.1	1	5.8	139
1	2.2	4.5	1.5	6.2	141
1	2.5	3.9	1.1	5.6	143
1	3.2	4.8	1.8	5.9	145
1	2.8	4	1.3	6.1	147
1	2.5	4.9	1.5	6.3	149
1	2.8	4.7	1.2	6.1	151
1	2.9	4.3	1.3	6.4	153
1	3	4.4	1.4	6.6	155
1	2.8	4.8	1.4	6.8	157
1	3	5	1.7	6.7	159
1	2.9	4.5	1.5	6	161
1	2.6	3.5	1	5.7	163
1	2.4	3.8	1.1	5.5	165
1	2.4	3.7	1	5.5	167
1	2.7	3.9	1.2	5.8	169
1	2.7	5.1	1.6	6	171
1	3	4.5	1.5	5.4	173
1	3.4	4.5	1.6	6	175
1	3.1	4.7	1.5	6.7	177
1	2.3	4.4	1.3	6.3	179
1	3	4.1	1.3	5.6	181
1	2.5	4	1.3	5.5	183
1	2.6	4.4	1.2	5.5	185
1	3	4.6	1.4	6.1	187
1	2.6	4	1.2	5.8	189
1	2.3	3.3	1	5	191
1	2.7	4.2	1.3	5.6	193
1	3	4.2	1.2	5.7	195
1	2.9	4.2	1.3	5.7	197
1	2.9	4.3	1.3	6.2	199
1	2.5	3	1.1	5.1	201
1	2.8	4.1	1.3	5.7	203
2	3.3	6	2.5	6.3	205
2	2.7	5.1	1.9	5.8	207
2	3	5.9	2.1	7.1	209
2	2.9	5.6	1.8	6.3	211
2	3	5.8	2.2	6.5	213
2	3	6.6	2.1	7.6	215
2	2.5	4.5	1.7	4.9	217
2	2.9	6.3	1.8	7.3	219
2	2.5	5.8	1.8	6.7	221
2	3.6	6.1	2.5	7.2	223
2	3.2	5.1	2	6.5	225
2	2.7	5.3	1.9	6.4	227
2	3	5.5	2.1	6.8	229
2	2.5	5	2	5.7	231
2	2.8	5.1	2.4	5.8	233
2	3.2	5.3	2.3	6.4	235
2	3	5.5	1.8	6.5	237
2	3.8	6.7	2.2	7.7	239
2	2.6	6.9	2.3	7.7	241
2	2.2	5	1.5	6	243
2	3.2	5.7	2.3	6.9	245
2	2.8	4.9	2	5.6	247
2	2.8	6.7	2	7.7	249
2	2.7	4.9	1.8	6.3	251
2	3.3	5.7	2.1	6.7	253
2	3.2	6	1.8	7.2	255
2	2.8	4.8	1.8	6.2	257
2	3	4.9	1.8	6.1	259
2	2.8	5.6	2.1	6.4	261
2	3	5.8	1.6	7.2	263
2	2.8	6.1	1.9	7.4	265
2	3.8	6.4	2	7.9	267
2	2.8	5.6	2.2	6.4	269
2	2.8	5.1	1.5	6.3	271
2	2.6	5.6	1.4	6.1	273
2	3	6.1	2.3	7.7	275
2	3.4	5.6	2.4	6.3	277
2	3.1	5.5	1.8	6.4	279
2	3	4.8	1.8	6	281
2	3.1	5.4	2.1	6.9	283
2	3.1	5.6	2.4	6.7	285
2	3.1	5.1	2.3	6.9	287
2	2.7	5.1	1.9	5.8	289
2	3.2	5.9	2.3	6.8	291
2	3.3	5.7	2.5	6.7	293
2	3	5.2	2.3	6.7	295
2	2.5	5	1.9	6.3	297
2	3	5.2	2	6.5	299
2	3.4	5.4	2.3	6.2	301
2	3	5.1	1.8	5.9	303
